,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min,cluster
88470,0.2178702570379437,0.44904395821013215,0.3915586066615814,0.21756660822635623,0.34858870001381564,0.42111461737856426,0.3304864795547279,0.0733208778530655,0.2763108962439568,0.2857142857142857,0.12025316455696203,1.0,0.06993006993006994,0.8434638069161133,0.30418410041841004,0.41935483870967744,0.6677890011223344,0.41935483870967744,0.8126272912423625,0.1,0.2,0.2,0.3617021276595745,0.4878048780487805,0.20710059171597633,0.6428571428571429,0.9442290529765476,0.24277266754270696,0.1,0.8255716622382986,0.75,0.1743119266055046,0.125,0.8154734076893961,0.9685534591194969,0.6946849700809574,2
95560,0.5891472868217054,0.28838951310861427,0.5990338164251209,0.4522691705790297,0.5212406921304977,0.5132762312633833,0.4918158046794685,0.0,0.31721829676459645,0.2857142857142857,0.0,0.07268722466960352,0.006993006993006993,0.1004462159409686,0.1765857740585774,0.1774193548387097,0.07856341189674523,0.1774193548387097,0.1027058481233634,0.2,0.0,0.0,0.02127659574468085,0.04878048780487805,0.09171597633136094,0.04285714285714286,0.11549209228833521,0.04303547963206308,0.2,0.06200072703357619,0.0,0.0,0.013888888888888888,0.09787617711881386,0.09224318658280922,0.18366772263287576,9
431070,0.5669988925802878,0.5425361155698235,0.5797101449275363,0.20251668742614418,0.36278688900963496,0.3499235240134598,0.3235061693558933,0.3436703979808837,0.2824735695691441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
883737,0.2569213732004429,0.8154093097913323,0.679089026915114,0.055922838619015675,0.15041823232748394,0.18725910064239826,0.19020337830393638,0.0,0.06380491951336131,0.14285714285714285,0.27848101265822783,0.11674008810572688,0.3146853146853147,0.11186066138344161,0.03102928870292887,0.06451612903225806,0.02132435465768799,0.06451612903225806,0.02589467558917661,0.0,0.0,0.0,0.1702127659574468,0.04878048780487805,0.0,0.24285714285714285,0.08044505566853448,0.06044678055190539,0.0,0.16155101946321193,0.14285714285714285,0.3669724770642202,0.2916666666666667,0.059317883301053,0.11530398322851153,0.0769447377683914,4
2503633,0.2679955703211517,0.9117174959871588,0.6128364389233956,0.2948165181565584,0.15179575874920598,0.1530743346589171,0.2277830663129469,0.21908812600780533,0.05838601710673113,0.14285714285714285,0.12025316455696203,0.0881057268722467,0.09090909090909091,0.13485342461852542,0.0180418410041841,0.03225806451612903,0.010475121586232696,0.03225806451612903,0.028513238289205704,0.0,0.0,0.2,0.10638297872340426,0.07317073170731707,0.005917159763313609,0.04285714285714286,0.07208380272417375,0.08607095926412615,0.0,0.09360233507318748,0.14285714285714285,0.11926605504587157,0.1527777777777778,0.06950844854070659,0.1320754716981132,0.11003167898627243,4
3505786,0.3953488372093023,0.5987158908507224,0.7577639751552796,0.40068985340615115,0.3783988551224851,0.41485163658611185,0.5132046488734099,0.660910004440186,0.3239122350316102,0.14285714285714285,0.05063291139240506,0.2841409691629956,0.04195804195804196,0.24615577254966237,0.0971213389121339,0.08064516129032258,0.23905723905723905,0.08064516129032258,0.2183590340413151,0.1,0.4,0.0,0.1276595744680851,0.07317073170731707,0.11242603550295859,0.22857142857142856,0.27106406636333047,0.14586070959264127,0.1,0.24344148277816935,0.32142857142857145,0.07339449541284404,0.08333333333333333,0.20763485384803754,0.28721174004192873,0.13692361844420978,5
4022514,0.20155038759689922,0.6067415730337079,0.9159420289855073,0.05700871898054997,0.2477634327958429,0.30224839400428266,0.2349366181609795,0.029936201537706524,0.20520639642989957,0.14285714285714285,0.24050632911392406,0.14096916299559473,0.3986013986013986,0.09037066720798385,0.01899581589958159,0.04838709677419355,0.09652076318742986,0.04838709677419355,0.02924061681699156,0.0,0.0,0.0,0.1276595744680851,0.14634146341463414,0.008875739644970414,0.17142857142857143,0.08576319293060819,0.06340341655716163,0.0,0.1382892689557355,0.10714285714285714,0.22935779816513763,0.4583333333333333,0.05558338342349561,0.07337526205450734,0.06385075677578317,4
4897705,0.23546511627906977,0.5786516853932584,0.7681159420289855,0.16009948580371117,0.2267705040981411,0.35458377944325475,0.2690472472712083,0.2338765745133322,0.08809036816660469,0.2857142857142857,0.9810126582278481,0.4118942731277533,0.958041958041958,0.2751417016000144,0.06558158995815899,0.016129032258064516,0.0714552936775159,0.016129032258064516,0.07448356124527204,0.0,0.4,0.2,0.5106382978723404,0.21951219512195122,0.023668639053254437,0.37142857142857144,0.2128132726660912,0.3104467805519054,0.0,0.3369499760016201,0.2857142857142857,0.6605504587155964,0.5416666666666666,0.16075046194260775,0.31446540880503143,0.21640267511439634,3
5178461,0.2596899224806202,0.6161048689138575,0.7246376811594203,0.2495715030926299,0.18334494026892378,0.29298715203426107,0.2194478769283448,0.01660395877637821,0.10877649683897363,0.5714285714285714,0.8227848101265823,0.2488986784140969,0.6433566433566433,0.21046626168014992,0.13110460251046024,0.1774193548387097,0.027310138421249533,0.1774193548387097,0.08161187081757347,0.0,0.0,0.0,0.40425531914893614,0.3902439024390244,0.011834319526627219,0.34285714285714286,0.15172418838056503,0.05551905387647832,0.0,0.2131588242260636,0.17857142857142858,0.8807339449541285,0.05555555555555555,0.10797212760747121,0.18029350104821804,0.16522351284758888,3
5571849,0.2773471145564169,0.5742821473158551,0.37745571658615146,0.09839282609235661,0.18740736772557634,0.1437187723054961,0.13915232487264578,0.383412399803697,0.10092971364819635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
